problem_id,expected,predicted,correct,parse_ok,raw_verdict,latency_s,input_tokens,output_tokens,cost_usd,response_text
hard2_0040,True,True,True,True,labeled:TRUE,336.76,3130,633,0.000242,"VERDICT: TRUE\nREASONING: \n- Eq1 is bare: x = y * (x * ((y * z) * w)).\n- Compute features of RHS:\n  - rhsVars = 4 (variables x, y, z, w)\n  - Lx = FALSE (leftmost variable is y)\n  - Rx = FALSE (ri"
hard2_0041,False,False,True,True,labeled:FALSE,378.26,3134,1377,0.000384,VERDICT: FALSE\nREASONING: default false fallback
hard2_0042,False,True,False,True,labeled:TRUE,429.47,3133,1035,0.000319,VERDICT: TRUE\nREASONING: The identity  \n\(x*(y*x) = (z*w)*u\)  \nasserts that for any choice of five elements the left‑hand side and the right‑hand side evaluate to the same element. By letting the 
hard2_0043,False,False,True,True,labeled:FALSE,459.16,3133,806,0.000275,VERDICT: FALSE\nREASONING: default false fallback
hard2_0044,True,True,True,True,labeled:TRUE,547.21,3133,732,0.000261,"VERDICT: TRUE\nREASONING: \nStep 2.8 (bare‑source contradiction motifs) applies.  \nFor Eq1, the right‑hand side P = (y * ((z * z) * x)) * w has:\nrhsVars = 4, Lx = FALSE, Rx = FALSE.  \nSince rhsVars"
hard2_0045,False,True,False,True,labeled:TRUE,555.66,3131,781,0.000270,"VERDICT: TRUE\nREASONING: The premise `x * x = ((y * z) * w) * u` forces every binary product in the magma to be a constant element. Indeed, for any choices of variables the left‑hand side is a produc"
hard2_0046,False,False,True,True,labeled:FALSE,610.75,3133,252,0.000170,VERDICT: FALSE\nREASONING: parity exclusion
hard2_0047,False,False,True,True,labeled:FALSE,26.51,3131,1275,0.000364,"VERDICT: FALSE\nREASONING: counterexample\n\nMagma with elements {0,1} and operation * defined by the table:\n\n| * | 0 | 1 |\n|---|---|---|\n| 0 | 0 | 1 |\n| 1 | 0 | 0 |\n\nThat is:\n- 0*0 = 0, 0*1 ="
hard2_0048,False,False,True,True,labeled:FALSE,85.30,3133,308,0.000181,VERDICT: FALSE\nREASONING: parity exclusion
hard2_0049,True,True,True,True,labeled:TRUE,187.26,3133,914,0.000296,"VERDICT: TRUE\nREASONING: The premise equation is bare (x = P) with P = y * (((z * w) * x) * y). Computing the required features for P:\nrhsVars=4, Lx=FALSE, Rx=FALSE, xTop=right, topShape=v-m, rhsTot"
hard2_0050,True,True,True,True,labeled:TRUE,220.99,3130,685,0.000252,"VERDICT: TRUE\nREASONING: Applied contradiction motif C2. For Eq1, the right‑hand product P = y * ((z * x) * z) has features rhsVars=3, rhsTotals=112, Lx=FALSE, Rx=FALSE, xTop=right, topShape=v-m, whi"
hard2_0051,False,False,True,True,labeled:FALSE,233.25,3133,1444,0.000397,VERDICT: FALSE\nREASONING: default false fallback
hard2_0052,False,False,True,True,labeled:FALSE,328.76,3133,1448,0.000397,VERDICT: FALSE\nREASONING: default false fallback
hard2_0053,True,False,False,True,labeled:FALSE,368.65,3134,1596,0.000425,VERDICT: FALSE\nREASONING: right-zero witness
hard2_0054,False,False,True,True,labeled:FALSE,407.05,3133,390,0.000196,VERDICT: FALSE\nREASONING: parity exclusion
hard2_0055,False,False,True,True,labeled:FALSE,441.69,3133,190,0.000158,VERDICT: FALSE\nREASONING: default false fallback
